resource_id,resource_type,title,creator,source_name,source_url,published_date,notes
resource-musicbrainz-work-search-how-sweet-it-is-to-be-loved-by-you,catalog-work-search,How Sweet It Is (To Be Loved By You) — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22How+Sweet+It+Is+%28To+Be+Loved+By+You%29%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-hurts-me-too,catalog-work-search,Hurts Me Too — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Hurts+Me+Too%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-i-know-you-rider,catalog-work-search,I Know You Rider — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22I+Know+You+Rider%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-it-s-all-over-now-baby-blue,catalog-work-search,It's All Over Now Baby Blue — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22It%27s+All+Over+Now+Baby+Blue%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-jack-straw,catalog-work-search,Jack Straw — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Jack+Straw%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-jam,catalog-work-search,Jam — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Jam%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-johnny-b-goode,catalog-work-search,Johnny B. Goode — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Johnny+B.+Goode%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-looks-like-rain,catalog-work-search,Looks Like Rain — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Looks+Like+Rain%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-loser,catalog-work-search,Loser — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Loser%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-me-and-bobby-mcgee,catalog-work-search,Me And Bobby McGee — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Me+And+Bobby+McGee%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-me-and-my-uncle,catalog-work-search,Me And My Uncle — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Me+And+My+Uncle%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-mexicali-blues,catalog-work-search,Mexicali Blues — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Mexicali+Blues%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-mind-left-body-jam,catalog-work-search,Mind Left Body Jam — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Mind+Left+Body+Jam%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-mississippi-half-step,catalog-work-search,Mississippi Half Step — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Mississippi+Half+Step%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-morning-dew,catalog-work-search,Morning Dew — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Morning+Dew%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-mr-charlie,catalog-work-search,Mr. Charlie — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Mr.+Charlie%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-next-time-you-see-me,catalog-work-search,Next Time You See Me — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Next+Time+You+See+Me%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-nobody-s-fault-but-mine,catalog-work-search,Nobody's Fault But Mine — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Nobody%27s+Fault+But+Mine%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-not-fade-away,catalog-work-search,Not Fade Away — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Not+Fade+Away%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-one-more-saturday-night,catalog-work-search,One More Saturday Night — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22One+More+Saturday+Night%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-playing-in-the-band,catalog-work-search,Playing In The Band — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Playing+In+The+Band%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-promised-land,catalog-work-search,Promised Land — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Promised+Land%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-ramble-on-rose,catalog-work-search,Ramble On Rose — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Ramble+On+Rose%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-rockin-pneumonia,catalog-work-search,Rockin' Pneumonia — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Rockin%27+Pneumonia%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-sidewalks-of-new-york,catalog-work-search,Sidewalks Of New York — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Sidewalks+Of+New+York%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-sing-me-back-home,catalog-work-search,Sing Me Back Home — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Sing+Me+Back+Home%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-sitting-on-top-of-the-world,catalog-work-search,Sitting On Top Of The World — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Sitting+On+Top+Of+The+World%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-smokestack-lightning,catalog-work-search,Smokestack Lightning — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Smokestack+Lightning%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-space,catalog-work-search,Space — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Space%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-stella-blue,catalog-work-search,Stella Blue — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Stella+Blue%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-sugar-magnolia,catalog-work-search,Sugar Magnolia — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Sugar+Magnolia%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-sugaree,catalog-work-search,Sugaree — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Sugaree%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-tennessee-jed,catalog-work-search,Tennessee Jed — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Tennessee+Jed%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-the-other-one,catalog-work-search,The Other One — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22The+Other+One%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-tomorrow-is-forever,catalog-work-search,Tomorrow Is Forever — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Tomorrow+Is+Forever%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-truckin,catalog-work-search,Truckin' — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Truckin%27%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-turn-on-your-lovelight,catalog-work-search,Turn On Your Lovelight — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Turn+On+Your+Lovelight%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-two-souls-in-communion,catalog-work-search,Two Souls In Communion — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Two+Souls+In+Communion%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-uncle-john-s-band,catalog-work-search,Uncle John's Band — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Uncle+John%27s+Band%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-weather-report-suite-prelude,catalog-work-search,Weather Report Suite Prelude — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Weather+Report+Suite+Prelude%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-wharf-rat,catalog-work-search,Wharf Rat — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Wharf+Rat%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-who-do-you-love,catalog-work-search,Who Do You Love — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Who+Do+You+Love%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-you-win-again,catalog-work-search,You Win Again — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22You+Win+Again%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-a-voice-from-on-high,catalog-work-search,A Voice From On High — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22A+Voice+From+On+High%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-alligator,lyrics-and-credits,Alligator — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/alligator,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-alligator,catalog-work-search,Alligator — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Alligator%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-and-we-bid-you-good-night,catalog-work-search,And We Bid You Good Night — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22And+We+Bid+You+Good+Night%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-ballad-of-casey-jones,catalog-work-search,Ballad Of Casey Jones — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Ballad+Of+Casey+Jones%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-beautiful-jam,catalog-work-search,Beautiful Jam — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Beautiful+Jam%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-big-boy-pete,lyrics-and-credits,Big Boy Pete — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/big-boy-pete,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-big-boy-pete,catalog-work-search,Big Boy Pete — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Big+Boy+Pete%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-big-breasa,lyrics-and-credits,Big Breasa — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/big-breasa,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-big-breasa,catalog-work-search,Big Breasa — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Big+Breasa%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-blues-jam,catalog-work-search,Blues Jam — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Blues+Jam%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-bring-me-my-shotgun,lyrics-and-credits,Bring Me My Shotgun — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/bring-me-my-shotgun,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-bring-me-my-shotgun,catalog-work-search,Bring Me My Shotgun — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Bring+Me+My+Shotgun%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-cathy-s-clown,catalog-work-search,Cathy's Clown — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Cathy%27s+Clown%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-cold-jordan,lyrics-and-credits,Cold Jordan — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/cold-jordan,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-cold-jordan,catalog-work-search,Cold Jordan — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Cold+Jordan%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-come-back-baby,lyrics-and-credits,Come Back Baby — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/come-back-baby,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-come-back-baby,catalog-work-search,Come Back Baby — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Come+Back+Baby%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-cosmic-charlie,catalog-work-search,Cosmic Charlie — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Cosmic+Charlie%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-cowboy-song,lyrics-and-credits,Cowboy Song — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/cowboy-song,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-cowboy-song,catalog-work-search,Cowboy Song — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Cowboy+Song%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-dancin-in-the-streets,catalog-work-search,Dancin' In The Streets — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Dancin%27+In+The+Streets%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-dark-hollow,lyrics-and-credits,Dark Hollow — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/dark-hollow,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-dark-hollow,catalog-work-search,Dark Hollow — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Dark+Hollow%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-darkness-darkness-jam,catalog-work-search,"Darkness, Darkness Jam — MusicBrainz work search",,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Darkness%2C+Darkness+Jam%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-darlin-corey,catalog-work-search,Darlin' Corey — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Darlin%27+Corey%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-death-don-t-have-no-mercy,lyrics-and-credits,Death Don't Have No Mercy — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/death-dont-have-no-mercy,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-death-don-t-have-no-mercy,catalog-work-search,Death Don't Have No Mercy — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Death+Don%27t+Have+No+Mercy%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-deep-elem-blues,lyrics-and-credits,Deep Elem Blues — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/deep-elem-blues,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-deep-elem-blues,catalog-work-search,Deep Elem Blues — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Deep+Elem+Blues%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-easy-wind,lyrics-and-credits,Easy Wind — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/easy-wind,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-easy-wind,catalog-work-search,Easy Wind — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Easy+Wind%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-empty-pages,lyrics-and-credits,Empty Pages — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/empty-pages,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-empty-pages,catalog-work-search,Empty Pages — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Empty+Pages%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-feedback,catalog-song-page,Feedback — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/feedback,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-feedback,catalog-work-search,Feedback — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Feedback%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-get-back,lyrics-and-credits,Get Back — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/get-back,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-get-back,catalog-work-search,Get Back — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Get+Back%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-good-morning-little-schoolgirl,lyrics-and-credits,Good Morning Little Schoolgirl — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/good-morning-little-schoolgirl,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-good-morning-little-schoolgirl,catalog-work-search,Good Morning Little Schoolgirl — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Good+Morning+Little+Schoolgirl%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-green-green-grass-of-home,catalog-work-search,Green Green Grass Of Home — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Green+Green+Grass+Of+Home%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-hard-to-handle,catalog-work-search,Hard To Handle — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Hard+To+Handle%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-he-was-a-friend-of-mine,catalog-work-search,He Was A Friend Of Mine — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22He+Was+A+Friend+Of+Mine%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-help-me-rhonda,lyrics-and-credits,Help Me Rhonda — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/help-me-rhonda,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-help-me-rhonda,catalog-work-search,Help Me Rhonda — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Help+Me+Rhonda%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-hideaway,catalog-work-search,Hideaway — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Hideaway%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-high-time,lyrics-and-credits,High Time — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/high-time,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-high-time,catalog-work-search,High Time — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22High+Time%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-hog-for-you-baby,catalog-work-search,Hog For You Baby — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22Hog+For+You+Baby%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-deadnet-song-how-long-blues,lyrics-and-credits,How Long Blues — Dead.net song page,,Grateful Dead / Dead.net,https://www.dead.net/song/how-long-blues,,Lyrics remain external and are not copied into the repository; page metadata is retained for source linking.
resource-musicbrainz-work-search-how-long-blues,catalog-work-search,How Long Blues — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22How+Long+Blues%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-i-know-it-s-a-sin,catalog-work-search,I Know It's A Sin — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22I+Know+It%27s+A+Sin%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
resource-musicbrainz-work-search-i-m-a-king-bee,catalog-work-search,I'm A King Bee — MusicBrainz work search,,MusicBrainz,https://musicbrainz.org/ws/2/work/?query=work%3A%22I%27m+A+King+Bee%22&fmt=json&limit=10,,Work-search evidence retained for composition-credit review; exact-title candidates may be ambiguous and are not automatically canonical.
