venue_id,name,city,state_region,country,latitude,longitude,notes,setting,capacity
venue-fiesta-hall-san-mateo-county-fairgrounds-san-mateo,"Fiesta Hall, San Mateo County Fairgrounds",San Mateo,CA,US,,,Normalized from gdshowsdb 1981 bulk baseline.,,
venue-fillmore-auditorium-san-francisco,Fillmore Auditorium,San Francisco,CA,US,,,Normalized from gdshowsdb 1965 bulk baseline.,,
venue-fillmore-east-new-york,Fillmore East,New York,NY,US,40.7276,-73.9886,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q3072023 (name+city matched).,indoor,
venue-fillmore-west-san-francisco,Fillmore West,San Francisco,CA,US,37.774742,-122.419433,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q3495868 (name+city matched).,,
venue-five-seasons-center-cedar-rapids,Five Seasons Center,Cedar Rapids,IA,US,41.9802,-91.6674,Normalized from gdshowsdb 1984 bulk baseline. Wikidata: Q7863111 (name+city matched).,,6900
venue-florida-gymnasium-university-of-florida-gainesville,"Florida Gymnasium, University of Florida",Gainesville,FL,US,,,Normalized from gdshowsdb 1980 bulk baseline.,,
venue-folsom-field-university-of-colorado-boulder-boulder,"Folsom Field, University of Colorado Boulder",Boulder,CO,US,40.009444,-105.266944,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q3075131 (name+city matched).,outdoor,26000
venue-ford-auditorium-detroit,Ford Auditorium,Detroit,MI,US,42.3278,-83.043,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q5467652 (name+city matched).,indoor,
venue-forum-theatre-copenhagen,Forum Theatre,Copenhagen,,Denmark,,,Normalized from gdshowsdb 1981 bulk baseline.,,
venue-foss-hill-wesleyan-university-middletown,"Foss Hill, Wesleyan University",Middletown,CT,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-fox-theatre-atlanta,Fox Theatre,Atlanta,GA,US,33.772633,-84.38565,Normalized from gdshowsdb 1977 bulk baseline. Wikidata: Q1440190 (name+city matched).,indoor,4665
venue-fox-theatre-st-louis,Fox Theatre,St. Louis,MO,US,38.638611,-90.231667,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q5477004 (name+city matched).,indoor,
venue-franklin-county-field-highgate,Franklin County Field,Highgate,VT,US,,,Normalized from gdshowsdb 1994 bulk baseline.,,
venue-freeborn-hall-uc-davis-davis,"Freeborn Hall, UC Davis",Davis,CA,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-freedom-hall-louisville,Freedom Hall,Louisville,KY,US,38.200294,-85.741886,Normalized from gdshowsdb 1974 bulk baseline. Wikidata: Q842991 (name+city matched).,,18865
venue-frenchy-s-hayward,Frenchy's,Hayward,CA,US,,,Normalized from gdshowsdb 1965 bulk baseline.,,
venue-frost-amphitheatre-stanford-university-palo-alto,"Frost Amphitheatre, Stanford University",Palo Alto,CA,US,,,Normalized from gdshowsdb 1982 bulk baseline.,,
venue-fugazi-hall-san-francisco,Fugazi Hall,San Francisco,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-gaelic-park-bronx,Gaelic Park,Bronx,NY,US,40.8875,-73.901389,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q5516613 (name+city matched).,,2000
venue-gallaher-estate-norwalk,Gallaher Estate,Norwalk,CT,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-giants-stadium-east-rutherford,Giants Stadium,East Rutherford,NJ,US,40.813726,-74.074433,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q375365 (name+city matched).,outdoor,80242
venue-gill-coliseum-oregon-state-university-corvallis,"Gill Coliseum, Oregon State University",Corvallis,OR,US,44.561262,-123.280597,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q3106019 (name+city matched).,,10000
venue-gizah-sound-and-light-theater-cairo,Gizah Sound and Light Theater,Cairo,,Egypt,,,Normalized from gdshowsdb 1978 bulk baseline.,,
venue-glen-helen-regional-park-devore,Glen Helen Regional Park,Devore,CA,US,,,Normalized from gdshowsdb 1982 bulk baseline.,,
venue-glens-falls-civic-center-glen-falls,Glens Falls Civic Center,Glen Falls,NY,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-golden-gardens-park-seattle,Golden Gardens Park,Seattle,WA,US,47.6901,-122.40041,Normalized from gdshowsdb 1967 bulk baseline. Wikidata: Q5579416 (name+city matched).,outdoor,
venue-governor-s-hall-state-fairgrounds-sacramento,"Governor's Hall, State Fairgrounds",Sacramento,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-grand-center-grand-rapids,Grand Center,Grand Rapids,MI,US,42.9693,-85.6734,Normalized from gdshowsdb 1980 bulk baseline. Wikidata: Q5244146 (name+city matched).,,
venue-grand-prix-racecourse-watkins-glen,Grand Prix Racecourse,Watkins Glen,NY,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-grande-ballroom-detroit,Grande Ballroom,Detroit,MI,US,42.3648,-83.1285,Normalized from gdshowsdb 1967 bulk baseline. Wikidata: Q5595302 (name+city matched).,,
venue-great-american-music-hall-san-francisco,Great American Music Hall,San Francisco,CA,US,,,Normalized from gdshowsdb 1975 bulk baseline.,,
venue-great-western-forum-inglewood,Great Western Forum,Inglewood,CA,US,33.95821,-118.342,Normalized from gdshowsdb 1977 bulk baseline. Wikidata: Q639129 (name+city matched).,indoor,17500
venue-green-lake-aqua-theatre-seattle,Green Lake Aqua Theatre,Seattle,WA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-greensboro-coliseum-greensboro,Greensboro Coliseum,Greensboro,NC,US,,,Normalized from gdshowsdb 1980 bulk baseline.,,
venue-greynolds-park-north-miami-beach,Greynolds Park,North Miami Beach,FL,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-grote-zaal-de-doelen-rotterdam,"Grote Zaal, De Doelen",Rotterdam,,Netherlands,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-grugahalle-essen,Grugahalle,Essen,,Germany,51.431,6.99767,Normalized from gdshowsdb 1981 bulk baseline. Wikidata: Q176751 (name+city matched).,,
venue-gulfstream-park-racetrack-hallandale,Gulfstream Park Racetrack,Hallandale,FL,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-gymnasium-lane-community-college-eugene,"Gymnasium, Lane Community College",Eugene,OR,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-gymnasium-las-lomas-high-school-walnut-creek,"Gymnasium, Las Lomas High School",Walnut Creek,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-haight-street-san-francisco,Haight Street,San Francisco,CA,US,37.7701,-122.446,Normalized from gdshowsdb 1968 bulk baseline. Wikidata: Q719317 (name+city matched).,,
venue-hall-of-flowers-san-mateo-county-fairgrounds-san-mateo,"Hall Of Flowers, San Mateo County Fairgrounds",San Mateo,CA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-hampton-coliseum-hampton,Hampton Coliseum,Hampton,VA,US,37.0347,-76.3813,Normalized from gdshowsdb 1979 bulk baseline. Wikidata: Q5646168 (name+city matched).,indoor,13800
venue-hara-arena-dayton,Hara Arena,Dayton,OH,US,,,Normalized from gdshowsdb 1981 bulk baseline.,,
venue-harder-stadium-uc-santa-barbara-goleta,"Harder Stadium, UC Santa Barbara",Goleta,CA,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-harding-theater-san-francisco,Harding Theater,San Francisco,CA,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-harmon-gym-uc-berkeley-berkeley,"Harmon Gym, UC Berkeley",Berkeley,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-harrington-auditorium-worcester-polytechnic-institute-worcester,"Harrington Auditorium, Worcester Polytechnic Institute",Worcester,MA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-hartford-civic-center-hartford,Hartford Civic Center,Hartford,CT,US,41.7683,-72.6769,Normalized from gdshowsdb 1977 bulk baseline. Wikidata: Q1783634 (name+city matched).,indoor,16606
venue-haywood-bandstand-vancouver,Haywood Bandstand,Vancouver,,Canada,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-hec-s-edmundson-pavilion-university-of-washington-seattle,"Hec S. Edmundson Pavilion, University of Washington",Seattle,WA,US,,,Normalized from gdshowsdb 1974 bulk baseline.,,
venue-hemisfair-arena-san-antonio,Hemisfair Arena,San Antonio,TX,US,29.420134,-98.483299,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q1145169 (name+city matched).,indoor,16057
venue-henry-j-kaiser-convention-center-oakland,Henry J. Kaiser Convention Center,Oakland,CA,US,,,Normalized from gdshowsdb 1985 bulk baseline.,,
venue-hershey-park-stadium-hershey,Hershey Park Stadium,Hershey,PA,US,,,Normalized from gdshowsdb 1985 bulk baseline.,,
venue-hill-auditorium-ann-arbor,Hill Auditorium,Ann Arbor,MI,US,42.279,-83.739,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q5762046 (name+city matched).,,
venue-hilton-hotel-san-francisco,Hilton Hotel,San Francisco,CA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-hippodrome-de-pantin-paris,Hippodrome de Pantin,Paris,,France,48.894,2.393,Normalized from gdshowsdb 1981 bulk baseline. Wikidata: Q692642 (name+city matched).,,
venue-hippy-hill-golden-gate-park-san-francisco,"Hippy Hill, Golden Gate Park",San Francisco,CA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-hofheinz-pavilion-houston,Hofheinz Pavilion,Houston,TX,US,29.724722,-95.346944,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q5876764 (name+city matched).,indoor,10000
venue-holleder-memorial-stadium-rochester,Holleder Memorial Stadium,Rochester,NY,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-holly-wood-newcastle-under-lyme-leycett,Holly Wood (Newcastle-Under-Lyme),Leycett,,England,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-hollywood-bowl-hollywood,Hollywood Bowl,Hollywood,CA,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-hollywood-palladium-hollywood,Hollywood Palladium,Hollywood,CA,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-honolulu-civic-auditorium-honolulu,Honolulu Civic Auditorium,Honolulu,HI,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-horton-field-house-illinois-state-university-normal,"Horton Field House, Illinois State University",Normal,IL,US,,,Normalized from gdshowsdb 1978 bulk baseline.,,
venue-hubert-h-humphrey-metrodome-minneapolis,Hubert H. Humphrey Metrodome,Minneapolis,MN,US,44.973888888889,-93.258055555556,Normalized from gdshowsdb 1986 bulk baseline. Wikidata: Q1072186 (name+city matched).,indoor,64121
venue-huntington-civic-center-huntington,Huntington Civic Center,Huntington,WV,US,,,Normalized from gdshowsdb 1978 bulk baseline.,,
venue-hyde-park-teen-center-cincinnati,Hyde Park Teen Center,Cincinnati,OH,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-i-d-e-s-hall-pescadero,I.D.E.S. Hall,Pescadero,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-ice-palace-las-vegas,Ice Palace,Las Vegas,NV,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-indiana-convention-center-indianapolis,Indiana Convention Center,Indianapolis,IN,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-indianapolis-sports-center-indianapolis,Indianapolis Sports Center,Indianapolis,IN,US,,,Normalized from gdshowsdb 1984 bulk baseline.,,
venue-international-amphitheatre-chicago,International Amphitheatre,Chicago,IL,US,41.81614,-87.64616,Normalized from gdshowsdb 1973 bulk baseline. Wikidata: Q1666325 (name+city matched).,indoor,9000
venue-international-room-san-francisco-state-university-san-francisco,"International Room, San Francisco State University",San Francisco,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-internationales-congress-centrum-berlin,Internationales Congress Centrum,Berlin,,Germany,,,Normalized from gdshowsdb 1990 bulk baseline.,,
venue-irvine-auditorium-university-of-pennsylvania-philadelphia,"Irvine Auditorium, University of Pennsylvania",Philadelphia,PA,US,39.9509,-75.193,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q15228822 (name+city matched).,,
venue-irvine-meadows-amphitheatre-irvine,Irvine Meadows Amphitheatre,Irvine,CA,US,,,Normalized from gdshowsdb 1983 bulk baseline.,,
venue-jahrhunderthalle-frankfurt,Jahrhunderthalle,Frankfurt,,Germany,50.0992,8.51889,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q1678687 (name+city matched).,,4800
venue-jai-alai-fronton-miami,Jai-Alai Fronton,Miami,FL,US,,,Normalized from gdshowsdb 1974 bulk baseline.,,
venue-jenison-field-house-michigan-state-university-east-lansing,"Jenison Field House, Michigan State University",East Lansing,MI,US,42.730843,-84.489928,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q6177526 (name+city matched).,indoor,6000
venue-joe-louis-arena-detroit,Joe Louis Arena,Detroit,MI,US,,,Normalized from gdshowsdb 1988 bulk baseline.,,
venue-johanneshov-isstadion-stockholm,Johanneshov Isstadion,Stockholm,,Sweden,,,Normalized from gdshowsdb 1990 bulk baseline.,,
venue-john-f-kennedy-stadium-philadelphia,John F. Kennedy Stadium,Philadelphia,PA,US,39.9014,-75.1719,Normalized from gdshowsdb 1987 bulk baseline. Wikidata: Q2390739 (name+city matched).,outdoor,102000
venue-kezar-stadium-san-francisco,Kezar Stadium,San Francisco,CA,US,37.766944444444,-122.45611111111,Normalized from gdshowsdb 1973 bulk baseline. Wikidata: Q4263361 (name+city matched).,outdoor,59942
venue-kiefer-lakefront-arena-university-of-new-orleans-new-orleans,"Kiefer Lakefront Arena, University of New Orleans",New Orleans,LA,US,,,Normalized from gdshowsdb 1988 bulk baseline.,,
venue-kiel-auditorium-st-louis,Kiel Auditorium,St. Louis,MO,US,38.627972,-90.201782,Normalized from gdshowsdb 1969 bulk baseline. Wikidata: Q3024991 (name+city matched).,indoor,9300
venue-kiel-opera-house-st-louis,Kiel Opera House,St. Louis,MO,US,38.6277,-90.2019,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q7157257 (name+city matched).,,3100
venue-kinetic-playground-chicago,Kinetic Playground,Chicago,IL,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-kings-beach-bowl-lake-tahoe,Kings Beach Bowl,Lake Tahoe,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-kingswood-music-theatre-maple,Kingswood Music Theatre,Maple,,Canada,,,Normalized from gdshowsdb 1984 bulk baseline.,,
venue-kirby-fieldhouse-lafayette-college-easton,"Kirby Fieldhouse, Lafayette College",Easton,PA,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-kleinhans-music-hall-buffalo,Kleinhans Music Hall,Buffalo,NY,US,42.901944,-78.883611,Normalized from gdshowsdb 1970 bulk baseline. Wikidata: Q6420299 (name+city matched).,,
venue-knickerbocker-arena-albany,Knickerbocker Arena,Albany,NY,US,42.648611,-73.754722,Normalized from gdshowsdb 1990 bulk baseline. Wikidata: Q1143334 (name+city matched).,indoor,15357
venue-knight-s-hall-bellarmine-college-louisville,"Knight's Hall, Bellarmine College",Louisville,KY,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-kongresssaal-deutsches-museum-munich,"Kongresssaal, Deutsches Museum",Munich,,Germany,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-kpix-tv-studios-san-francisco,KPIX-TV Studios,San Francisco,CA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-kresge-plaza-massachusetts-institute-of-technology-cambridge,"Kresge Plaza, Massachusetts Institute of Technology",Cambridge,MA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-la-dolphine-hillsborough,La Dolphine,Hillsborough,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-labor-temple-minneapolis,Labor Temple,Minneapolis,MN,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-ladera-school-ladera,Ladera School,Ladera,CA,US,,,Normalized from gdshowsdb 1966 bulk baseline.,,
venue-laguna-seca-raceway-salinas,Laguna Seca Raceway,Salinas,CA,US,,,Normalized from gdshowsdb 1987 bulk baseline.,,
venue-lakeland-civic-center-arena-lakeland,Lakeland Civic Center Arena,Lakeland,FL,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-lanai-theater-crockett,Lanai Theater,Crockett,CA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-las-vegas-convention-center-las-vegas,Las Vegas Convention Center,Las Vegas,NV,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-legion-stadium-el-monte,Legion Stadium,El Monte,CA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-lille-fairgrounds-lille,Lille Fairgrounds,Lille,,France,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-lindley-meadow-golden-gate-park-san-francisco,"Lindley Meadow, Golden Gate Park",San Francisco,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-lion-s-share-san-anselmo,Lion's Share,San Anselmo,CA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-lloyd-noble-center-university-of-oklahoma-norman,"Lloyd Noble Center, University of Oklahoma",Norman,OK,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-loma-prieta-room-student-union-san-jose-state-university-san-jose,"Loma Prieta Room, Student Union, San Jose State University",San Jose,CA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-long-beach-arena-long-beach,Long Beach Arena,Long Beach,CA,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-longshoreman-s-hall-san-francisco,Longshoreman's Hall,San Francisco,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-los-angeles-memorial-coliseum-los-angeles,Los Angeles Memorial Coliseum,Los Angeles,CA,US,34.014167,-118.287778,Normalized from gdshowsdb 1991 bulk baseline. Wikidata: Q849784 (name+city matched).,outdoor,77500
venue-los-angeles-memorial-sports-arena-los-angeles,Los Angeles Memorial Sports Arena,Los Angeles,CA,US,34.013055555556,-118.28444444444,Normalized from gdshowsdb 1993 bulk baseline. Wikidata: Q1571403 (name+city matched).,indoor,16161
venue-lusk-field-house-suny-cortland,"Lusk Field House, SUNY",Cortland,NY,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-lyceum-london,Lyceum,London,,England,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-lyric-theater-baltimore,Lyric Theater,Baltimore,MD,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-macarthur-court-university-of-oregon-eugene,"MacArthur Court, University of Oregon",Eugene,OR,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-mackay-stadium-university-of-nevada-reno,"Mackay Stadium, University of Nevada",Reno,NV,US,,,Normalized from gdshowsdb 1974 bulk baseline.,,
venue-madison-square-garden-new-york,Madison Square Garden,New York,NY,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-magoo-s-pizza-parlor-menlo-park,Magoo's Pizza Parlor,Menlo Park,CA,US,,,Normalized from gdshowsdb 1965 bulk baseline.,,
venue-maine-state-fairgrounds-lewiston,Maine State Fairgrounds,Lewiston,ME,US,,,Normalized from gdshowsdb 1980 bulk baseline.,,
venue-mammoth-gardens-denver,Mammoth Gardens,Denver,CO,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-manhattan-center-new-york,Manhattan Center,New York,NY,US,40.7529,-73.9942,Normalized from gdshowsdb 1971 bulk baseline. Wikidata: Q3844593 (name+city matched).,,
venue-manor-downs-austin,Manor Downs,Austin,TX,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-marigold-ballroom-fresno,Marigold Ballroom,Fresno,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-marin-veterans-memorial-auditorium-san-rafael,Marin Veterans Memorial Auditorium,San Rafael,CA,US,,,Normalized from gdshowsdb 1983 bulk baseline.,,
venue-marion-shea-auditorium-paterson-state-college-wayne,"Marion Shea Auditorium, Paterson State College",Wayne,NJ,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-market-square-arena-indianapolis,Market Square Arena,Indianapolis,IN,US,39.768333333333,-86.151944444444,Normalized from gdshowsdb 1976 bulk baseline. Wikidata: Q3294309 (name+city matched).,indoor,16530
venue-masonic-temple-detroit,Masonic Temple,Detroit,MI,US,,,Normalized from gdshowsdb 1979 bulk baseline.,,
venue-masonic-temple-portland,Masonic Temple,Portland,OR,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-matrix-san-francisco,Matrix,San Francisco,CA,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-max-yasgur-s-farm-bethel,Max Yasgur's Farm,Bethel,NY,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-mayser-center-franklin-and-marshall-college-lancaster,"Mayser Center, Franklin & Marshall College",Lancaster,PA,US,,,Normalized from gdshowsdb 1971 bulk baseline.,,
venue-mcdonough-arena-georgetown-university-washington,"McDonough Arena, Georgetown University",Washington,DC,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-mcfarlin-auditorium-southern-methodist-university-smu-dallas,"McFarlin Auditorium, Southern Methodist University (SMU)",Dallas,TX,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-mcgaw-hall-northwestern-university-evanston,"McGaw Hall, Northwestern University",Evanston,IL,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-mcmahon-stadium-calgary,McMahon Stadium,Calgary,,Canada,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-mcnichols-sports-arena-denver,McNichols Sports Arena,Denver,CO,US,39.742777777778,-105.0225,Normalized from gdshowsdb 1977 bulk baseline. Wikidata: Q2081796 (name+city matched).,indoor,16600
venue-meadowlands-arena-east-rutherford,Meadowlands Arena,East Rutherford,NJ,US,,,Normalized from gdshowsdb 1983 bulk baseline.,,
venue-mecca-milwaukee,Mecca,Milwaukee,WI,US,,,Normalized from gdshowsdb 1989 bulk baseline.,,
venue-melk-weg-amsterdam,Melk Weg,Amsterdam,,Netherlands,,,Normalized from gdshowsdb 1981 bulk baseline.,,
venue-melodyland-theatre-anaheim,Melodyland Theatre,Anaheim,CA,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-memorial-auditorium-ohio-university-athens,"Memorial Auditorium, Ohio University",Athens,OH,US,39.3266,-82.0992,Normalized from gdshowsdb 1968 bulk baseline. Wikidata: Q123035589 (name+city matched).,,
venue-memorial-union-ballroom-purdue-university-lafayette,"Memorial Union Ballroom, Purdue University",Lafayette,IN,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-meramec-community-college-st-louis,Meramec Community College,St. Louis,MO,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-merriweather-post-pavilion-columbia,Merriweather Post Pavilion,Columbia,MD,US,,,Normalized from gdshowsdb 1983 bulk baseline.,,
venue-mershon-auditorium-ohio-state-university-columbus,"Mershon Auditorium, Ohio State University",Columbus,OH,US,,,Normalized from gdshowsdb 1976 bulk baseline.,,
venue-metropolitan-sports-center-bloomington,Metropolitan Sports Center,Bloomington,MN,US,44.858333333333,-93.24,Normalized from gdshowsdb 1973 bulk baseline. Wikidata: Q3307175 (name+city matched).,indoor,16000
venue-miami-arena-miami,Miami Arena,Miami,FL,US,25.780833333333,-80.195555555556,Normalized from gdshowsdb 1988 bulk baseline. Wikidata: Q1857422 (name+city matched).,,17000
venue-miami-hollywood-speedway-park-pembroke-pines,Miami-Hollywood Speedway Park,Pembroke Pines,FL,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-mid-south-coliseum-memphis,Mid-South Coliseum,Memphis,TN,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-middlesex-county-community-college-edison,Middlesex County Community College,Edison,NJ,US,,,Normalized from gdshowsdb 1970 bulk baseline.,,
venue-mile-high-stadium-denver,Mile High Stadium,Denver,CO,US,39.746111111111,-105.02166666667,Normalized from gdshowsdb 1991 bulk baseline. Wikidata: Q1934586 (name+city matched).,outdoor,51706
venue-milwaukee-auditorium-milwaukee,Milwaukee Auditorium,Milwaukee,WI,US,43.0418,-87.9174,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q6861840 (name+city matched).,indoor,4086
venue-mississippi-coliseum-jackson,Mississippi Coliseum,Jackson,MS,US,32.3001,-90.1721,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q6879095 (name+city matched).,indoor,
venue-monterey-county-fairgrounds-monterey,Monterey County Fairgrounds,Monterey,CA,US,,,Normalized from gdshowsdb 1967 bulk baseline.,,
venue-monterey-peninsula-college-monterey,Monterey Peninsula College,Monterey,CA,US,,,Normalized from gdshowsdb 1969 bulk baseline.,,
venue-moody-coliseum-southern-methodist-university-smu-dallas,"Moody Coliseum, Southern Methodist University (SMU)",Dallas,TX,US,32.840431,-96.780659,Normalized from gdshowsdb 1977 bulk baseline. Wikidata: Q9035055 (name+city matched).,outdoor,9305
venue-moscone-convention-center-san-francisco,Moscone Convention Center,San Francisco,CA,US,37.7842,-122.402,Normalized from gdshowsdb 1982 bulk baseline. Wikidata: Q1752484 (name+city matched).,,
venue-mosque-richmond,Mosque,Richmond,VA,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-mount-tamalpais-cushing-memorial-amphitheatre-marin-county,"Mount Tamalpais, Cushing Memorial Amphitheatre",Marin County,CA,US,37.9291,-122.578,Normalized from gdshowsdb 1966 bulk baseline. Wikidata: Q785665 (name+city matched).,,
venue-muir-beach-lodge-muir-beach,Muir Beach Lodge,Muir Beach,CA,US,,,Normalized from gdshowsdb 1965 bulk baseline.,,
venue-music-hall-boston,Music Hall,Boston,MA,US,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-music-hall-cincinnati,Music Hall,Cincinnati,OH,US,39.109444,-84.518889,Normalized from gdshowsdb 1972 bulk baseline. Wikidata: Q9289351 (name+city matched).,indoor,
venue-music-hall-municipal-auditorium-kansas-city,Music Hall (Municipal Auditorium),Kansas City,MO,US,,,Normalized from gdshowsdb 1980 bulk baseline.,,
venue-musikhalle-hamburg,Musikhalle,Hamburg,,Germany,,,Normalized from gdshowsdb 1972 bulk baseline.,,
venue-nashville-municipal-auditorium-nashville,Nashville Municipal Auditorium,Nashville,TN,US,36.167580555556,-86.782244444444,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q6966981 (name+city matched).,indoor,9700
venue-nassau-veterans-memorial-coliseum-uniondale,Nassau Veterans Memorial Coliseum,Uniondale,NY,US,,,Normalized from gdshowsdb 1973 bulk baseline.,,
venue-national-guard-armory-st-louis,National Guard Armory,St. Louis,MO,US,,,Normalized from gdshowsdb 1968 bulk baseline.,,
venue-naumburg-bandshell-central-park-new-york,"Naumburg Bandshell, Central Park",New York,NY,US,40.77266,-73.97101,Normalized from gdshowsdb 1967 bulk baseline. Wikidata: Q124784443 (name+city matched).,,
venue-nbc-studios-new-york,NBC Studios,New York,NY,US,40.759,-73.979,Normalized from gdshowsdb 1978 bulk baseline. Wikidata: Q3267643 (name+city matched).,,
venue-nevada-county-fairgrounds-grass-valley,Nevada County Fairgrounds,Grass Valley,CA,US,,,Normalized from gdshowsdb 1983 bulk baseline.,,
venue-new-haven-coliseum-veterans-memorial-coliseum-new-haven,New Haven Coliseum Veterans Memorial Coliseum,New Haven,CT,US,,,Normalized from gdshowsdb 1977 bulk baseline.,,
venue-niagra-falls-convention-center-niagra-falls,Niagra Falls Convention Center,Niagra Falls,NY,US,,,Normalized from gdshowsdb 1984 bulk baseline.,,
